"mb_sex","age","majorNm","license","hope_license"
"2","51",독어독문학과,,관광통역안내사(독어)
"1","50",관광중국어과,,스포츠경영관리사
"2","50",포르투갈어과,,관광통역안내사(중국어)
"2","62",호텔조리과,,조주기능사
"2","14",멀티미디어공학과,,정보처리산업기사
"2","29",카이로스포츠과,,웹디자인기능사
"2","41",도시정보공학전공,,실내건축기능사
"1","52",미디어문예창작학과,,시각디자인기사
"2","40",식품공학과,,수산제조기술사
"2","26",포르투갈어과,,관광통역안내사(중국어)
"1","60",리조트개발학과,,식품기사
"2","54",산업보건학과,,"3급 청소년상담사"
"2","13",국방과학기술학과,,멀티미디어콘텐츠제작전문가
"2","47",전산통계학과,,반도체설계산업기사
"1","34",도시건설과,,측량기능사
"2","47",항공메카트로닉스과,,전산응용조선제도기능사
"2","51",전기자동차과,,전자산업기사
"2","57",해양학과,,도시계획기술사
"2","14",호텔조리과,,복어조리기능사
"1","36",푸드코디네이션과,,제과기능장
"2","61",독일어과,,관광통역안내사(스페인어)
"1","49",전산통계학과,,전자계산기기사
"2","26",사회체육학과,,미용사(네일)
"2","45",신발패션산업과,,제품디자인산업기사
"2","38",환경보건학과,,자연생태복원기사
"1","61",관광일어과,,미용사(네일)
"2","40",목재응용과학과,,유기농업기능사
"2","63",환경과학과,,대기관리기술사
"2","44",사회체육학과,,미용사(일반)
"2","56",화학신소재학과,,화학분석기사
"1","25",기악과,,컴퓨터그래픽스운용기능사
"1","48",신재생에너지과,,컴퓨터시스템응용기술사
"2","12",건축과,,로더운전기능사
"1","38",기계융합공학과,,생산자동화산업기사
"2","9",호텔외식조리과,,중식조리산업기사
"2","54",만화콘텐츠과,,시각디자인기사
"2","12",항공운항학과,,공조냉동기계기능사
"1","14",항공서비스경영학과,,항공기사
"1","43",화훼원예과,,식물보호산업기사
"1","45",농학과,,유기농업기능사
"2","10",게임공학과,,정보관리기술사
"2","20",루마니아어과,,관광통역안내사(태국어)
"2","21",건축과,,전산응용건축제도기능사
"2","8",프랑스어문학과,,관광통역안내사(아랍어)
"2","22",사진학과,,시각디자인산업기사
"1","38",데이터정보학과,,멀티미디어콘텐츠제작전문가
"1","13",푸드스타일링전공,,제과기능사
"2","55",프랑스어문학과,,관광통역안내사(러시아어)
"2","38",모바일게임과,,멀티미디어콘텐츠제작전문가
"2","60",정밀화학과,,위험물기능사
"2","62",미용과,,시각디자인기사
"2","27",전기·전자·통신공학교육과,,철도신호기사
"2","57",화학과,,화학분석기사
"2","10",항공관광과,,전자부품장착기능사
"1","15",해양생명응용과학부,,목재창호기능사
"1","39",교통시스템공학과,,건설재료시험기사
"2","36",광고홍보학과,,이용사
"2","47",호텔관광과,,컨벤션기획사1급
"1","34",항공메카트로닉스과,,승강기기사
"1","62",치기공과,,"3급 청소년지도사"
"1","42",프랑스어문학과,,관광통역안내사(영어)
"2","56",기계설계공학과,,컴퓨터응용가공산업기사
"1","31",멀티미디어게임과,,사무자동화산업기사
"1","47",생화학과,,정밀화학기사
"2","16",대기과학과,,소음진동기술사
"2","59",신소재응용과,,광산환경기능사
"1","20",프랑스학과,,관광통역안내사(일본어)
"1","59",항공서비스학과,,농기계정비기능사
"2","27",농업교육과,,어로산업기사
"2","42",교육심리학과,,"3급 청소년지도사"
"1","37",식품공학과,,수산제조기사
"1","11",나노재료공학전공,,화약류제조기사
"1","24",전기자동차과,,전자회로설계산업기사
"2","64",건축기계설비과,,방수산업기사
"2","55",e-비즈니스과,,컴퓨터시스템응용기술사
"2","38",호텔관광과,,포장산업기사
"2","42",식품영양학과,,식품기사
"2","40",레이저광정보공학전공,,"2급 청소년지도사"
"2","33",치의학과,,"3급 청소년지도사"
"2","26",광고홍보학과,,미용장
"1","22",경영회계학과,,품질경영산업기사
"1","22",아랍어과,,관광통역안내사(말레이/인도네시아어)
"1","28",도시계획학과,,잠수산업기사
"1","46",산림자원학과,,산림산업기사
"2","24",경영정보학과,,포장기술사
"2","57",귀금속보석공예학과,,인쇄기사
"1","55",친환경건축학과,,배관기능사
"1","50",도예학과,,보석디자인산업기사
"1","47",공예과,,컬러리스트산업기사
"1","32",항공기계과,,사출금형설계기사
"2","13",멀티미디어게임과,,컴퓨터시스템응용기술사
"2","23",치기공과,,임상심리사2급
"2","29",기계융합공학과,,사출금형산업기사
"2","47",독어독문학과,,관광통역안내사(일본어)
"2","60",관광일어과,,스포츠경영관리사
"2","33",컴퓨터응용기계과,,전자계산기조직응용기사
"2","47",프랑스어과,,관광통역안내사(불어)
"2","11",정보보안학과,,전자계산기조직응용기사
"1","53",러시아어과,,관광통역안내사(불어)
"2","46",생명공학과,,화학분석기능사
"2","32",경제통상학부,,포장산업기사
"2","44",마술학과,,컴퓨터그래픽스운용기능사
"2","9",전기공학과,,전기철도기사
"1","20",도시사회학과,,양화장치운전기능사
"1","58",신발패션산업과,,컬러리스트기사
"2","47",항공관광과,,건설기계정비기능장
"1","12",e-비즈니스과,,컴퓨터시스템응용기술사
"2","56",환경교육과,,광산환경기능사
"1","35",메카트로닉스공학과,,사무자동화산업기사
"1","26",항공정비학과,,조선기술사
"1","25",경찰경호행정과,,건설안전산업기사
"2","14",식품생명과학과,,제빵기능사
"1","48",나노물리학과,,화공기술사
"1","32",방사선과,,전기안전기술사
"1","25",산림자원학과,,종자기술사
"2","21",VMD과,,사회조사분석사2급
"1","51",화학교육과,,위험물기능장
"1","50",문화콘텐츠학과,,제품디자인산업기사
"2","28",평생교육학과,,관광통역안내사(영어)
"2","18",고고미술사학과,,제품디자인기술사
"2","52",도예학과,,전자출판기능사
"1","15",회계학과,,포장기술사
"2","14",기계과,,금형기능사
"1","52",간호과,,임상심리사2급
"2","42",화학신소재학과,,화학분석기능사
"2","34",멀티미디어게임과,,정보처리기사
"2","37",e-비즈니스과,,정보처리기능사
"1","33",항공메카트로닉스과,,자동차정비기사
"1","39",모바일게임과,,정보처리기능사
"2","37",기계설계공학과,,공조냉동기계기술사
"2","10",화학교육과,,화학분석기능사
"1","15",항공운항학과,,기계조립산업기사
"2","16",프랑스어문학과,,관광통역안내사(이탈리아어)
"2","32",산림과학과,,임산가공산업기사
"2","58",드론교통공학과,,정보처리산업기사
"2","41",화학신소재학과,,위험물산업기사
"2","17",프랑스어문학과,,관광통역안내사(불어)
"1","19",미디어콘텐츠학과,,제품디자인기술사
"2","26",산림자원학과,,산림기사
"1","29",교통공학과,,도배기능사
"2","46",드론교통공학과,,정보처리산업기사
"2","60",화학공학과,,화공기술사
"1","8",환경공학과,,폐기물처리기사
"1","15",치의학과,,임상심리사2급
"1","62",광공학과,,"2급 청소년상담사"
"1","61",과학교육과,,자연환경관리기술사
"2","21",정보통계학과,,정보처리산업기사
"2","58",신소재응용과,,자연환경관리기술사
"2","54",프랑스어과,,관광통역안내사(중국어)
"1","22",산업보건학과,,임상심리사1급
"1","35",항공서비스학과,,반도체장비유지보수기능사
"2","23",경호스포츠과,,초음파비파괴검사산업기사
"2","12",항공정비학과,,철도차량기사
"2","37",정보통계학과,,정보처리산업기사
"1","15",패션디자인학과,,한복기능사
"2","25",식품생명과학과,,제빵기능사
"2","15",미용과,,컴퓨터그래픽스운용기능사
"1","14",나노물리학과,,화공기술사
"1","49",광고홍보학과,,미용사(일반)
"1","29",기계융합공학과,,건설기계설비기사
"2","35",교육공학과,,국제의료관광코디네이터
"1","53",공예과,,시각디자인기사
"1","33",기악과,,컬러리스트기사
"1","33",생명시스템학과,,위험물기능장
"2","11",폴란드어과,,관광통역안내사(아랍어)
"2","35",환경과학과,,토양환경기사
"1","50",미디어콘텐츠학과,,컬러리스트기사
"2","52",러시아어과,,관광통역안내사(독어)
"2","22",도시사회학과,,측량및지형공간정보산업기사
"1","57",해양생명응용과학부,,배관기능사
"1","47",생명시스템학과,,위험물산업기사
"2","19",전기자동차과,,반도체설계기사
"1","52",화학과,,위험물기능사
"2","32",패션산업학과,,양장기능사
"1","8",레이저광정보공학전공,,국제의료관광코디네이터
"2","11",화공생명학과,,바이오화학제품제조기사
"2","19",건축과,,수자원개발기술사
"1","16",카이로스포츠과,,시각디자인기사
"1","47",화공생명학과,,정밀화학기사
"2","57",치의학과,,"2급 청소년지도사"
"1","8",공연영상학과,,시각디자인기사
"2","24",불어불문학과,,관광통역안내사(아랍어)
"2","28",융합보안학과,,정보처리기능사
"2","55",미술학과,,컬러리스트산업기사
"2","54",환경교육과,,자연생태복원산업기사
"2","15",경호보안학과,,비파괴검사기술사
"2","21",해양경찰학과,,지질및지반기술사
"2","14",전기·전자·통신공학교육과,,전자계산기제어산업기사
"2","38",환경학과,,광산환경기능사
"1","36",정보통계학과,,사무자동화산업기사
"1","53",환경원예학과,,자연생태복원기사
"2","64",로봇공학과,,관광통역안내사(영어)
"1","55",컴퓨터공학과,,전자계산기조직응용기사
"1","49",경영정보학과,,포장기술사
"2","30",관광영어과,,이용사
"1","12",교정보호학과,,컨벤션기획사2급
"2","48",컴퓨터응용기계과,,컴퓨터시스템응용기술사
"1","48",나노재료공학전공,,위험물산업기사
"2","37",관광학부,,이용장
"1","47",농학과,,유기농업산업기사
"2","33",생화학과,,화공기술사
"2","45",골프학과,,미용사(피부)
"2","60",미디어커뮤니케이션학과,,시각디자인기사
"1","17",산림과학과,,종자기사
"2","59",방사선학과,,자기비파괴검사기사
"1","33",다문화복지과,,임상심리사1급
"1","27",경찰법학전공,,소방기술사
